,GESTION,MES,CANTIDAD UNIDADES,PRODUCCION
0,2022,11,14,LOCETAS
1,2022,11,21,LOCETAS
2,2022,11,11,LOCETAS
3,2022,11,17,LOCETAS
4,2022,11,30,LOCETAS
5,2022,11,36,LOCETAS
6,2022,11,21,LOCETAS
7,2022,11,12,LOCETAS
8,2022,12,18,LOCETAS
9,2022,12,33,LOCETAS
10,2022,12,30,LOCETAS
11,2022,12,31,LOCETAS
12,2022,12,30,LOCETAS
13,2022,12,17,LOCETAS
14,2022,12,1,LOCETAS
15,2022,12,6,LOCETAS
16,2022,1,26,LOCETAS
17,2022,1,28,LOCETAS
18,2022,1,28,LOCETAS
19,2022,1,30,LOCETAS
20,2022,1,29,LOCETAS
21,2022,1,22,LOCETAS
22,2022,10,88,ADOQUINES
23,2022,10,160,ADOQUINES
24,2022,10,240,ADOQUINES
25,2022,10,240,ADOQUINES
26,2022,10,240,ADOQUINES
27,2022,10,250,ADOQUINES
28,2022,10,346,ADOQUINES
29,2022,11,250,ADOQUINES
30,2022,11,161,ADOQUINES
31,2022,11,72,ADOQUINES
32,2022,11,265,ADOQUINES
33,2022,11,86,ADOQUINES
34,2022,11,355,ADOQUINES
35,2022,12,88,ADOQUINES
36,2022,12,260,ADOQUINES
37,2022,12,344,ADOQUINES
38,2022,12,275,ADOQUINES
39,2022,12,178,ADOQUINES
40,2022,12,332,ADOQUINES
41,2022,12,240,ADOQUINES
42,2022,12,253,ADOQUINES
43,2022,12,308,ADOQUINES
44,2022,12,337,ADOQUINES
45,2022,12,340,ADOQUINES
46,2022,12,66,ADOQUINES
47,2022,12,184,ADOQUINES
0,2023,1,6,LOSETAS
1,2023,1,13,LOSETAS
2,2023,1,20,LOSETAS
3,2023,1,27,LOSETAS
4,2023,1,31,LOSETAS
5,2023,2,3,LOSETAS
6,2023,2,10,LOSETAS
7,2023,2,17,LOSETAS
8,2023,2,24,LOSETAS
9,2023,2,28,LOSETAS
10,2023,3,3,LOSETAS
11,2023,3,10,LOSETAS
12,2023,3,17,LOSETAS
13,2023,3,24,LOSETAS
14,2023,3,31,LOSETAS
15,2023,4,7,LOSETAS
16,2023,4,14,LOSETAS
17,2023,4,21,LOSETAS
18,2023,4,28,LOSETAS
19,2023,5,5,LOSETAS
20,2023,5,12,LOSETAS
21,2023,5,19,LOSETAS
22,2023,5,26,LOSETAS
23,2023,5,31,LOSETAS
24,2023,6,2,LOSETAS
25,2023,6,9,LOSETAS
26,2023,6,16,LOSETAS
27,2023,6,23,LOSETAS
28,2023,6,30,LOSETAS
29,2023,7,7,LOSETAS
30,2023,7,14,LOSETAS
31,2023,7,21,LOSETAS
32,2023,7,28,LOSETAS
33,2023,7,31,LOSETAS
34,2023,8,4,LOSETAS
35,2023,8,11,LOSETAS
36,2023,8,18,LOSETAS
37,2023,8,25,LOSETAS
38,2023,8,31,LOSETAS
39,2023,9,1,LOSETAS
40,2023,9,8,LOSETAS
41,2023,9,15,LOSETAS
42,2023,9,22,LOSETAS
43,2023,9,29,LOSETAS
44,2023,10,6,LOSETAS
45,2023,10,13,LOSETAS
46,2023,10,20,LOSETAS
47,2023,10,27,LOSETAS
48,2023,10,31,LOSETAS
49,2023,11,3,LOSETAS
50,2023,11,10,LOSETAS
51,2023,11,17,LOSETAS
52,2023,11,24,LOSETAS
53,2023,11,30,LOSETAS
54,2023,12,1,LOSETAS
55,2023,12,8,LOSETAS
56,2023,12,15,LOSETAS
57,2023,12,22,LOSETAS
58,2023,12,29,LOSETAS
59,2023,1,6,ADOQUINES
60,2023,1,13,ADOQUINES
61,2023,1,20,ADOQUINES
62,2023,1,27,ADOQUINES
63,2023,1,31,ADOQUINES
64,2023,2,3,ADOQUINES
65,2023,2,10,ADOQUINES
66,2023,2,17,ADOQUINES
67,2023,2,24,ADOQUINES
68,2023,2,28,ADOQUINES
69,2023,3,3,ADOQUINES
70,2023,3,10,ADOQUINES
71,2023,3,17,ADOQUINES
72,2023,3,24,ADOQUINES
73,2023,3,31,ADOQUINES
74,2023,4,7,ADOQUINES
75,2023,4,14,ADOQUINES
76,2023,4,21,ADOQUINES
77,2023,4,28,ADOQUINES
78,2023,5,5,ADOQUINES
79,2023,5,12,ADOQUINES
80,2023,5,19,ADOQUINES
81,2023,5,26,ADOQUINES
82,2023,5,31,ADOQUINES
83,2023,6,2,ADOQUINES
84,2023,6,9,ADOQUINES
85,2023,6,16,ADOQUINES
86,2023,6,23,ADOQUINES
87,2023,6,30,ADOQUINES
88,2023,7,7,ADOQUINES
89,2023,7,14,ADOQUINES
90,2023,7,21,ADOQUINES
91,2023,7,28,ADOQUINES
92,2023,7,31,ADOQUINES
93,2023,8,4,ADOQUINES
94,2023,8,11,ADOQUINES
95,2023,8,18,ADOQUINES
96,2023,8,25,ADOQUINES
97,2023,8,31,ADOQUINES
98,2023,9,1,ADOQUINES
99,2023,9,8,ADOQUINES
100,2023,9,15,ADOQUINES
101,2023,9,22,ADOQUINES
102,2023,9,29,ADOQUINES
103,2023,10,6,ADOQUINES
104,2023,10,13,ADOQUINES
105,2023,10,20,ADOQUINES
106,2023,10,27,ADOQUINES
107,2023,10,31,ADOQUINES
108,2023,11,3,ADOQUINES
109,2023,11,10,ADOQUINES
110,2023,11,17,ADOQUINES
111,2023,11,24,ADOQUINES
112,2023,11,30,ADOQUINES
113,2023,12,1,ADOQUINES
114,2023,12,8,ADOQUINES
115,2023,12,15,ADOQUINES
116,2023,12,22,ADOQUINES
117,2023,12,29,ADOQUINES
