FECHA,NOMBRE/INSTITUCIÓN,ETAPA,m3,GESTION,MES
2021-09-08,Institucion privada,Construcción,4,9,2021
2021-09-06,Institucion privada,Construcción,4,9,2021
2021-09-03,Institucion privada,Construcción,4,9,2021
2021-09-02,Institucion privada,Construcción,4,9,2021
2021-09-01,Institucion privada,Construcción,4,9,2021
2021-08-30,Institucion privada,Construcción,4,8,2021
2021-08-24,Institucion privada,Construcción,4,8,2021
2021-08-21,Institucion privada,Construcción,4,8,2021
2021-08-20,Institucion privada,Construcción,4,8,2021
2021-08-12,Institucion privada,Construcción,4,8,2021
2021-08-11,Institucion privada,Construcción,4,8,2021
2021-08-09,Institucion privada,Construcción,12,8,2021
2021-08-09,Institucion privada,Construcción,4,8,2021
2021-06-28,Institucion privada,Construcción,4,6,2021
2021-06-25,Institucion privada,Construcción,8,6,2021
2021-06-24,Institucion privada,Construcción,4,6,2021
2021-06-24,Institucion privada,Construcción,8,6,2021
2021-06-22,Institucion privada,Construcción,4,6,2021
2021-06-18,Institucion privada,Construcción,4,6,2021
2021-06-16,Institucion privada,Construcción,8,6,2021
2021-06-15,Institucion privada,Construcción,4,6,2021
2021-06-10,Institucion privada,Construcción,4,6,2021
2021-06-09,Institucion privada,Construcción,4,6,2021
2021-06-09,GAMLP,Construcción,39,6,2021
2021-06-08,GAMLP,Construcción,39,6,2021
2021-06-08,Institucion privada,Construcción,4,6,2021
2021-06-07,GAMLP,Construcción,39,6,2021
2021-06-05,Institucion privada,Construcción,4,6,2021
2021-06-02,Institucion privada,Construcción,8,6,2021
2021-05-31,Institucion privada,Construcción,8,5,2021
2021-05-27,Institucion privada,Construcción,4,5,2021
2021-05-24,GAMLP,Construcción,13,5,2021
2021-05-07,Institucion privada,Construcción,4,5,2021
2021-04-28,Institucion privada,Construcción,4,4,2021
2021-04-23,Institucion privada,Construcción,3,4,2021
2021-04-23,Institucion privada,Construcción,1,4,2021
2021-04-23,Institucion privada,Construcción,4,4,2021
2021-04-23,Institucion privada,Construcción,6,4,2021
2021-04-09,Institucion privada,Construcción,10,4,2021
